44;Danny Ocean;Dembow;2019
23;Alexis&Fido;Rompe la Cintura;2013
37;zyon&Lenox;Otra vez;2016
22;J balbin;Yo te lo Dije;2017
21;Paulo LondraPor ;Por eso Vine;2019
42;MArmello;Friends;2018
1;Ed Sheeran;Shape Of You;2017
2;Magic;Rude;2014
3;Harry Styles;Watermelon2020;2016
4;Adele ;Someone Lik2012;2012
5;Calvin HarrisSlide;Slide;2014
6;Train;Drive By;2012
7;Shawn Mendez;Mercy;2016
9;The Chainsmokers;Closer;2016
10;Inna;Amazing;2013
15;Marshmello;Friend;2018
14;Martin Garrix;Ocean;2018
13;Calvin Haris;Summer;2014
12;Anne Marie;Friends;2018
33;Romeo Santos;Sobredosi;2018
32;Chayanne;Humanos a Marte;2014
31;Maite Perroni;Loca;2017
31;Annie;Friend;2020
